product_id,product_name,category,brand,price,rating,total_orders,total_sales,total_quantity,total_profit,avg_selling_price
1.00,Astra Be,Clothing,Astra,157.889999389648,4.07999992370605,19,3789.36001586914,24,1136.80802612305,157.889999925045
2.00,NeoTech Someone,Groceries,NeoTech,21.4599990844727,3.86999988555908,26,901.319961547852,42,270.395988464356,21.4599990844727
3.00,Acme Discuss,Sports,Acme,265.369995117188,3.46000003814697,24,9022.57983398438,34,2706.77395019531,265.369995117188
4.00,Nimbus South,Electronics,Nimbus,541.409973144531,4.1399998664856,17,12452.4295043945,23,3735.72893676758,541.409975538067
5.00,Astra Capital,Home & Kitchen,Astra,198,3.97000002861023,22,7128,36,2138.4,198
6.00,NeoTech When,Toys,NeoTech,18.6100006103516,3.20000004768372,31,874.670028686523,47,262.401008605957,18.6100006103516
7.00,Zenith School,Toys,Zenith,81.1699981689453,2.60999989509583,35,3896.15991210938,48,1168.84797363281,81.1699981689453
8.00,Everest Friend,Clothing,Everest,33.8600006103516,2.9300000667572,19,981.940017700195,29,294.582005310059,33.8600006103516
9.00,Harbor Go,Home & Kitchen,Harbor,253.179992675781,4.44000005722046,24,8861.29974365234,35,2658.3899230957,253.179992675781
10.00,Orion Ahead,Sports,Orion,235.110000610352,3.47000002861023,23,8699.07009887695,37,2609.72108306885,235.110001716061
11.00,GreenLeaf They,Pet Supplies,GreenLeaf,2.99000000953674,2.76999998092651,29,125.580001115799,42,37.6740008354187,2.99000001775807
12.00,GreenLeaf Road,Electronics,GreenLeaf,1299.7099609375,3.60999989509583,24,44190.138671875,34,13257.0416015625,1299.7099609375
13.00,Harbor Others,Groceries,Harbor,19.0900001525879,4.5,19,458.160003662109,24,137.448001098633,19.0900001525879
14.00,Astra Anyone,Electronics,Astra,99.5599975585938,3.67000007629395,20,2588.55993652344,26,776.567980957031,99.5599975585938
15.00,GreenLeaf Common,Pet Supplies,GreenLeaf,58.1500015258789,3.5,22,1918.95002746582,33,575.684992218018,58.1500011790882
16.00,Zenith Current,Groceries,Zenith,9.52999973297119,4.67999982833862,18,228.719995498657,24,68.6159999847412,9.52999976829246
17.00,Solace Something,Books,Solace,25.6599998474121,3.63000011444092,18,667.160007476807,26,200.148010253906,25.6600000593397
18.00,Solace A,Home & Kitchen,Solace,47.1800003051758,3.05999994277954,30,1556.94000244141,33,467.081995391846,47.1800002204047
19.00,Acme Live,Automotive,Acme,225.869995117188,3.03999996185303,24,7905.44982910156,35,2371.63494873047,225.869995117188
20.00,Nimbus Yard,Automotive,Nimbus,492.809997558594,2.75,20,15769.9201049805,32,4730.97615966797,492.810000610352
21.00,Willow Special,Electronics,Willow,1772.35998535156,2.90000009536743,25,62032.5997314453,35,18609.780090332,1772.35998860677
22.00,Nimbus Sit,Clothing,Nimbus,37.6500015258789,4.53999996185303,19,941.250022888184,25,282.374996185303,37.6500012581809
23.00,Harbor Health,Groceries,Harbor,22.1100006103516,3.08999991416931,17,596.970016479492,27,179.091004943848,22.1100006103516
24.00,Harbor Who,Automotive,Harbor,529.539978027344,4.34999990463257,12,9002.17974853516,17,2700.65401000977,529.539981418186
25.00,Zenith About,Automotive,Zenith,631.840026855469,4.01999998092651,21,18955.2006225586,30,5686.56005859375,631.840023949033
26.00,Pulse Such,Automotive,Pulse,742.469970703125,2.84999990463257,18,17819.279296875,24,5345.7837890625,742.469970703125
27.00,Willow Evening,Toys,Willow,61.5900001525879,2.70000004768372,34,3264.27003097534,53,979.281025314331,61.5900003769818
28.00,Astra Road,Automotive,Astra,313.890014648438,2.55999994277954,21,8161.14031982422,26,2448.34205322266,313.890013679625
29.00,Solace Player,Automotive,Solace,357.869995117188,4.32000017166138,20,10020.3598632813,28,3006.10795898438,357.869995117188
30.00,Willow Budget,Clothing,Willow,139.449996948242,3.9300000667572,17,2928.44995117188,21,878.534996032715,139.449997247434
31.00,Pulse The,Books,Pulse,37.0099983215332,3.36999988555908,21,1073.28995513916,29,321.986989212036,37.009998382084
32.00,Orion Itself,Clothing,Orion,265.989990234375,3.75,24,8511.6796875,32,2553.50390625,265.989990234375
33.00,Pulse Officer,Toys,Pulse,44.4599990844727,3.59999990463257,17,1067.03999328613,24,320.112008666992,44.4599993836646
34.00,Everest Figure,Automotive,Everest,260.019989013672,3.86999988555908,23,9620.73971557617,37,2886.22200012207,260.019990782807
35.00,Everest Choose,Electronics,Everest,438.459991455078,4.63000011444092,30,16223.019744873,37,4866.90596618652,438.459992133246
36.00,Orion Laugh,Sports,Orion,81.879997253418,3.64000010490417,24,2702.03992462158,33,810.611988067627,81.8799974653456
37.00,Orion Approach,Pet Supplies,Orion,44.4000015258789,3.05999994277954,21,1376.40002441406,31,412.91999130249,44.4000011625744
